QuestionType,Question,QuestionID,Answer_Participant_id2_condition_AB,Answer_Participant_id2_condition_AB,Answer_Participant_id2_condition_AB,Answer_Participant_id2_condition_AB,Answer_Participant_id2_condition_AB,Answer_Participant_id2_condition_AB,Answer_Participant_id2_condition_AB
radio,UIST is an amazing conference,q1,5,,4,4,5,5,5
radio,VR is a beautiful research tool,q2,,,4,4,5,5,5
radio,Happiness is the key to success,q3,2,,,4,5,5,5
radio,Debugging is awesome,q4,3,4,4,4,5,5,4
radio,I like fixing bugs,q5,3,4,4,4,5,5,4
radio,I would use the VRQuestionnaireToolkit,q6,7,4,4,4,5,5,4
radioGrid,Hololens_The system was easy to use,q7,2,4,4,4,5,5,4
radioGrid,Oculus Rift_The system was easy to use,q7,4,,,,,,
radioGrid,Vive_The system was easy to use,q7,2,,,,,,
radioGrid,Magic Leap_The system was easy to use,q7,3,,,,,,
radioGrid,Hololens_The system was easy to use,q8,5,,,,,,
radioGrid,Oculus Rift_The system was easy to use,q8,5,,,,,,
radioGrid,Vive_The system was easy to use,q8,5,,,,,,
radioGrid,Magic Leap_The system was easy to use,q8,5,0,0,0,0,0,0
checkbox, If you don’t use VR frequently, what is keeping you from adopting this? -It's too expensive,q9,1,6,6,6,6,6,6
checkbox, If you don’t use VR frequently, what is keeping you from adopting this? -The technology isn't that good yet ,q9,,10,10,10,10,10,10
checkbox, If you don’t use VR frequently, what is keeping you from adopting this? -There is not enough content and/or games ,q9,1,15,17,18,20,19,17
checkbox, If you don’t use VR frequently, what is keeping you from adopting this? -I don't like wearing the headset ,q9,,15,17,18,20,19,17
checkbox, If you don’t use VR frequently, what is keeping you from adopting this? -The experience isn't immersive enough,q9,1,16,18,20,20,20,18
checkbox, If you don’t use VR frequently, what is keeping you from adopting this? -The experience isn't better than traditional gaming,q9,,0,0,0,0,0,0
linearSlider,Temporal Demand:			How hurried or rushed was the pace of the task?,s1,3,0,0,0,0,0,0
linearSlider,Physical Demand:				How physically demanding was the task?,s2,2,0,0,0,0,0,0

